datetime,sunrise,sunset,conditions,cloudcover,moonphase
2018-06-06,2018-06-06T05:08:08,2018-06-06T20:14:05,Partially cloudy,70.2,0.74
2018-06-07,2018-06-07T05:07:52,2018-06-07T20:14:43,Partially cloudy,35.1,0.79
2018-06-08,2018-06-08T05:07:38,2018-06-08T20:15:19,"Rain, Partially cloudy",40.7,0.84
2018-06-09,2018-06-09T05:07:26,2018-06-09T20:15:53,Clear,9.5,0.89
2018-06-10,2018-06-10T05:07:16,2018-06-10T20:16:26,Clear,6.4,0.93
2018-06-11,2018-06-11T05:07:08,2018-06-11T20:16:57,Partially cloudy,23.6,0.97
2018-06-12,2018-06-12T05:07:02,2018-06-12T20:17:26,Clear,0,0.99
2018-06-13,2018-06-13T05:06:58,2018-06-13T20:17:54,"Rain, Partially cloudy",58,1
2018-06-14,2018-06-14T05:06:56,2018-06-14T20:18:20,Partially cloudy,54.6,0
2018-06-15,2018-06-15T05:06:56,2018-06-15T20:18:44,Partially cloudy,80.7,0.02
2018-06-16,2018-06-16T05:06:58,2018-06-16T20:19:07,Clear,17.8,0.05
2018-06-17,2018-06-17T05:07:02,2018-06-17T20:19:27,Clear,0,0.09
2018-06-18,2018-06-18T05:07:09,2018-06-18T20:19:46,Rain,6.7,0.14
2018-06-19,2018-06-19T05:07:17,2018-06-19T20:20:03,"Rain, Partially cloudy",34.4,0.2
2018-06-20,2018-06-20T05:07:27,2018-06-20T20:20:17,Clear,1.8,0.25
2018-06-21,2018-06-21T05:07:39,2018-06-21T20:20:30,Partially cloudy,27.4,0.31
2018-06-22,2018-06-22T05:07:53,2018-06-22T20:20:41,Partially cloudy,26.2,0.36
2018-06-23,2018-06-23T05:08:09,2018-06-23T20:20:50,"Rain, Partially cloudy",71.6,0.4
2018-06-24,2018-06-24T05:08:26,2018-06-24T20:20:57,"Rain, Overcast",94.5,0.44
2018-06-25,2018-06-25T05:08:46,2018-06-25T20:21:02,"Rain, Partially cloudy",63.5,0.47
2018-06-26,2018-06-26T05:09:07,2018-06-26T20:21:05,Clear,1.4,0.49
2018-06-27,2018-06-27T05:09:30,2018-06-27T20:21:05,Clear,3.4,0.5
2018-06-28,2018-06-28T05:09:55,2018-06-28T20:21:04,"Rain, Overcast",98.4,0.5
2018-06-29,2018-06-29T05:10:21,2018-06-29T20:21:01,Partially cloudy,46,0.51
2018-06-30,2018-06-30T05:10:49,2018-06-30T20:20:55,Clear,0,0.53
2018-07-01,2018-07-01T05:11:19,2018-07-01T20:20:47,Clear,0.4,0.55
2018-07-02,2018-07-02T05:11:50,2018-07-02T20:20:38,Clear,4.4,0.58
2018-07-03,2018-07-03T05:12:23,2018-07-03T20:20:26,Clear,18.9,0.62
2018-07-04,2018-07-04T05:12:57,2018-07-04T20:20:12,Partially cloudy,20.1,0.66
2018-07-05,2018-07-05T05:13:33,2018-07-05T20:19:56,Partially cloudy,23.3,0.71
2018-07-06,2018-07-06T05:14:10,2018-07-06T20:19:38,"Rain, Partially cloudy",75.4,0.76
2018-07-07,2018-07-07T05:14:49,2018-07-07T20:19:18,Clear,1.8,0.82
2018-07-08,2018-07-08T05:15:29,2018-07-08T20:18:55,Clear,0,0.87
2018-07-09,2018-07-09T05:16:10,2018-07-09T20:18:31,Clear,0.6,0.91
2018-07-10,2018-07-10T05:16:52,2018-07-10T20:18:04,Clear,2.7,0.95
2018-07-11,2018-07-11T05:17:36,2018-07-11T20:17:36,"Rain, Partially cloudy",52.2,0.98
2018-07-12,2018-07-12T05:18:21,2018-07-12T20:17:05,Clear,2,1
2018-07-13,2018-07-13T05:19:07,2018-07-13T20:16:33,Partially cloudy,23.4,0
2018-07-14,2018-07-14T05:19:54,2018-07-14T20:15:58,Partially cloudy,44.1,0.01
2018-07-15,2018-07-15T05:20:42,2018-07-15T20:15:22,"Rain, Partially cloudy",45.9,0.04
2018-07-16,2018-07-16T05:21:31,2018-07-16T20:14:43,Clear,16.9,0.08
2018-07-17,2018-07-17T05:22:21,2018-07-17T20:14:02,"Rain, Partially cloudy",66.2,0.13
2018-07-18,2018-07-18T05:23:12,2018-07-18T20:13:20,"Rain, Partially cloudy",44.7,0.18
2018-07-19,2018-07-19T05:24:03,2018-07-19T20:12:36,Clear,0,0.23
2018-07-20,2018-07-20T05:24:56,2018-07-20T20:11:49,Clear,5.6,0.28
2018-07-21,2018-07-21T05:25:49,2018-07-21T20:11:01,Partially cloudy,25.1,0.34
2018-07-22,2018-07-22T05:26:43,2018-07-22T20:10:11,"Rain, Overcast",93.8,0.38
2018-07-23,2018-07-23T05:27:38,2018-07-23T20:09:19,"Rain, Partially cloudy",70.4,0.42
2018-07-24,2018-07-24T05:28:33,2018-07-24T20:08:26,Partially cloudy,74.1,0.45
2018-07-25,2018-07-25T05:29:29,2018-07-25T20:07:30,"Rain, Overcast",92.5,0.48
2018-07-26,2018-07-26T05:30:26,2018-07-26T20:06:33,"Rain, Partially cloudy",84.6,0.49
2018-07-27,2018-07-27T05:31:23,2018-07-27T20:05:34,Partially cloudy,58.3,0.5
2018-07-28,2018-07-28T05:32:21,2018-07-28T20:04:34,"Rain, Partially cloudy",56.7,0.5
2018-07-29,2018-07-29T05:33:19,2018-07-29T20:03:32,Partially cloudy,31,0.52
2018-07-30,2018-07-30T05:34:17,2018-07-30T20:02:28,Clear,5.2,0.53
2018-07-31,2018-07-31T05:35:16,2018-07-31T20:01:22,Partially cloudy,22,0.56
2018-08-01,2018-08-01T05:36:15,2018-08-01T20:00:16,"Rain, Partially cloudy",69.3,0.6
